	new_el	N_Z	N	Z	A	el	o	ME_keV	ME_unc_keV	BE_keV	BE_unc_keV	B	Q_keV	Q_unc_keV	mass_micro_u	mass_unc_micro_u	extrapol	mass_prec
3185	0.0	58	148	90	238	Th	+a	52525.0	283.0	7555.0	1.0	B-	1631.0	284.0	238056388.0	304.0	True	
3186		56	147	91	238	Pa	x	50894.043	15.835	7558.3449	0.0665	B-	3586.3111	15.9056	238054637.0	17.0	False	2.8006170716820247
3187		54	146	92	238	U		47307.732	1.492	7570.1262	0.0063	B-	-146.8652	1.2006	238050786.936	1.601	False	2.93478017565702
3188		52	145	93	238	Np	-n	47454.597	1.137	7566.222	0.0048	B-	1291.4491	0.4573	238050944.603	1.22	False	2.9491198176100593
3189		50	144	94	238	Pu		46163.148	1.138	7568.3611	0.0048	B-	-2258.2731	58.9005	238049558.175	1.221	False	2.949076589988171
3190		48	143	95	238	Am	-a	48421.421	58.911	7555.5853	0.2475	B-	-1023.7818	60.1587	238051982.531	63.243	False	2.717407298088767
3191		46	142	96	238	Cm	-a	49445.203	12.234	7547.9966	0.0514	B-	-4771.0	256.0	238053081.606	13.133	False	2.816179445817209
3192		44	141	97	238	Bk	-a	54216.0	256.0	7525.0	1.0	B-	-3061.0	393.0	238058204.0	275.0	True	
3193		42	140	98	238	Cf	x	57278.0	298.0	7509.0	1.0	B-			238061490.0	320.0	True	
3194	0.0	59	149	90	239	Th	x	56500.0	400.0	7540.0	2.0	B-	3162.0	445.0	239060655.0	429.0	True	
3195		57	148	91	239	Pa	x	53337.0	196.0	7550.0	1.0	B-	2765.0	196.0	239057260.0	210.0	True	
3196		55	147	92	239	U	-n	50572.668	1.502	7558.5624	0.0063	B-	1261.6634	1.4935	239054291.989	1.612	False	2.9346398399979217
3197		53	146	93	239	Np		49311.005	1.31	7560.568	0.0055	B-	722.7849	0.9304	239052937.538	1.406	False	2.9418802762634737
3198		51	145	94	239	Pu		48588.22	1.112	7560.3187	0.0047	B-	-802.1402	1.6635	239052161.596	1.194	False	2.950467263047512
3199		49	144	95	239	Am	-a	49390.36	1.982	7553.6891	0.0083	B-	-1756.6021	150.074	239053022.729	2.127	False	2.919794812062148
3200		47	143	96	239	Cm	-a	51146.962	150.07	7543.0659	0.6279	B-	-3103.0	256.0	239054908.519	161.107	False	2.6539554484505112
3201		45	142	97	239	Bk	-a	54250.0	207.0	7527.0	1.0	B-	-3952.0	239.0	239058239.0	222.0	True	
3202		43	141	98	239	Cf	-a	58202.0	120.0	7507.0	1.0	B-	-5429.0	323.0	239062482.0	129.0	True	
3203		41	140	99	239	Es	x	63630.0	300.0	7481.0	1.0	B-			239068310.0	322.0	True	
3204	0.0	58	149	91	240	Pa	x	57010.0	200.0	7537.0	1.0	B-	4295.0	200.0	240061203.0	215.0	True	
3205		56	148	92	240	U		52715.497	2.553	7551.7705	0.0106	B-	399.2685	17.083	240056592.411	2.74	False	2.9062684737316573
3206		54	147	93	240	Np		52316.229	17.032	7550.1743	0.071	B-	2190.9095	17.0151	240056163.778	18.284	False	2.7966931807551703
3207		52	146	94	240	Pu		50125.319	1.105	7556.0433	0.0046	B-	-1384.7902	13.7882	240053811.74	1.186	False	2.95103754860013
3208		50	145	95	240	Am	+n	51510.11	13.832	7547.0136	0.0576	B-	-214.1127	13.8967	240055298.374	14.849	False	2.809309157358059
3209		48	144	96	240	Cm		51724.222	1.905	7542.8617	0.0079	B-	-3940.0	150.0	240055528.233	2.045	False	2.922138640096314
3210		46	143	97	240	Bk	-	55664.0	150.0	7523.0	1.0	B-	-2324.0	151.0	240059758.0	161.0	True	
3211		44	142	98	240	Cf	-a	57988.719	18.034	7510.24	0.0751	B-	-6237.0	366.0	240062253.447	19.36	False	2.7931998311550785
3212		42	141	99	240	Es	-a	64225.0	366.0	7481.0	2.0	B-			240068949.0	393.0	True	
3213	0.0	59	150	91	241	Pa	x	59740.0	300.0	7528.0	1.0	B-	3543.0	358.0	241064134.0	322.0	True	
3214		57	149	92	241	U	x	56197.0	196.0	7539.0	1.0	B-	1882.0	220.0	241060330.0	210.0	True	
3215		55	148	93	241	Np	+	54315.115	100.006	7544.0426	0.415	B-	1360.0	100.0	241058309.671	107.36	False	2.6826887503063714
3216		53	147	94	241	Pu		52955.115	1.105	7546.4395	0.0046	B-	20.7799	0.1658	241056849.651	1.186	False	2.9512555384799404
3217		51	146	95	241	Am		52934.335	1.113	7543.2795	0.0046	B-	-767.4346	1.1685	241056827.343	1.195	False	2.9508602698685946
3218		49	145	96	241	Cm		53701.77	1.607	7536.8488	0.0067	B-	-2279.0	165.0	241057651.218	1.725	False	2.9314774257259315
3219		47	144	97	241	Bk	+a	55981.0	165.0	7524.0	1.0	B-	-3346.0	235.0	241060098.0	178.0	True	
3220		45	143	98	241	Cf	-a	59327.0	167.0	7507.0	1.0	B-	-4567.0	285.0	241063690.0	180.0	True	
