n,z,quadrupoleDeformation
50,34,0.1434643239245494
52,34,0.19130837137368187
36,36,0.3321585507226389
38,36,0.2543659329104613
40,36,0.29001259763856646
42,36,0.2564330287527486
44,36,0.2691193755549321
46,36,0.2030360828966265
48,36,0.15256034975861876
50,36,0.1342277589719618
52,36,0.12312111242332154
54,36,0.15549282653244895
56,36,0.1817965160405802
40,38,0.4357357284111036
42,38,0.28665069048233366
44,38,0.2898857257092265
46,38,0.21065417136285372
48,38,0.14352822520290778
50,38,0.11477201292025985
52,38,0.1214156286995862
54,38,0.11779697001768172
56,38,0.11695494807369701
58,38,0.14777360295331674
60,38,0.40600457001287676
62,38,0.42631465293697635
64,38,0.42723773753183175
42,40,0.4117919371390513
44,40,0.17728052600855898
46,40,0.14793881076609366
48,40,0.10760281069738759
50,40,0.09188896408894008
52,40,0.10053683552635566
54,40,0.08799243355452302
56,40,0.06025855355333945
58,40,0.06782944939594862
60,40,0.34718050439831727
62,40,0.4173371171540951
64,40,0.38182582730742654
46,42,0.14753101567314875
50,42,0.10913317463246505
52,42,0.15108185006547417
54,42,0.17152990439645752
56,42,0.16910538222174645
58,42,0.23082375425001875
60,42,0.3110113542423833
62,42,0.3120771302199496
64,42,0.2698536461491014
66,42,0.31473539528410377
52,44,0.15454234639496048
54,44,0.19680163282019458
56,44,0.21511021785101958
58,44,0.17065741794506856
60,44,0.27399039002195436
62,44,0.20708303861272037
64,44,0.27535972955274274
66,44,0.29290269077361136
68,44,0.30144305613553846
54,46,0.17274162653123978
56,46,0.1390873352450919
58,46,0.20939523245497924
60,46,0.16218420198995395
62,46,0.24345182951784627
64,46,0.2566784205703107
66,46,0.21806130956131098
68,46,0.24502755127971057
70,46,0.14116278888591619
54,48,0.14851023028502533
56,48,0.16533196724347987
58,48,0.16765557531135233
60,48,0.17022139602679812
62,48,0.17159313582507735
64,48,0.18179877336960718
66,48,0.13023369035016533
68,48,0.1350581756006833
70,48,0.1347556042114113
72,48,0.12127215997336165
74,48,0.11973474403922503
78,48,0.12187577781114939
58,50,0.12327761541138187
60,50,0.12023806465763345
62,50,0.12262176578779294
64,50,0.10540815459426883
66,50,0.11173303539489278
68,50,0.11014251341938193
70,50,0.10707759320677425
72,50,0.10279377367130013
74,50,0.09516190959378622
76,50,0.08325472290536141
78,50,0.06460742521782019
82,50,0.07129736492551997
62,52,0.17788451721820883
68,52,0.12059308058792055
70,52,0.13102342939835152
72,52,0.16995943834625787
74,52,0.15266288162168695
76,52,0.13522061305925495
78,52,0.11839003561590108
80,52,0.09055960656067437
82,52,0.07671890122030434
84,52,0.08424822082187505
60,54,0.16053019290095336
62,54,0.17777350182410087
64,54,0.18995339373217088
66,54,0.20837217312745104
68,54,0.2586687815375539
70,54,0.22308537927793823
72,54,0.19458969487526256
74,54,0.20237554485526854
76,54,0.1279436430825194
78,54,0.14067977349668218
80,54,0.11474970257165396
82,54,0.09139159587981512
84,54,0.11961513883892314
86,54,0.1438822218474655
88,54,0.11906338669602724
66,56,0.35245518324356917
68,56,0.3013271549660547
70,56,0.27401034404395236
72,56,0.24056757865926273
74,56,0.21528244633768526
76,56,0.18536801955424123
78,56,0.16347180039242126
80,56,0.12518555536696938
82,56,0.093838246200868
84,56,0.13115772575763623
86,56,0.16031385685644803
88,56,0.19627619520856082
90,56,0.21874508785412589
66,58,0.33710655658316097
68,58,0.33231448814358566
70,58,0.28804766229879686
72,58,0.2571418898406217
74,58,0.2644878317950927
76,58,0.19644186136294206
78,58,0.17138106879953666
80,58,0.12826075087744987
82,58,0.10172107778658182
84,58,0.12585079154565548
86,58,0.16220091324084968
88,58,0.17947936971706444
90,58,0.252986885813487
92,58,0.30944410819810925
94,58,0.4310172169467812
70,60,0.34001441246189257
72,60,0.38171187746389856
74,60,0.2544075597976799
80,60,0.15322694778214732
82,60,0.09159227228833082
84,60,0.1341465429120356
86,60,0.14548923559127305
88,60,0.20096650391027415
90,60,0.2847708680610317
92,60,0.34755912423542834
94,60,0.2586429412612261
72,62,0.36363838650289826
74,62,0.2930835146748528
76,62,0.2050579047985098
78,62,0.18166219363507471
82,62,0.08805639260548735
86,62,0.14220475168140803
88,62,0.19325875541484722
90,62,0.3078631175141408
92,62,0.3392718503151871
74,64,0.2500539774610657
84,64,0.07717506696712788
88,64,0.21155948251537346
90,64,0.31046643007162344
92,64,0.34020751955047834
94,64,0.3483139810643881
96,64,0.3506452098167588
100,64,0.34913121584133566
86,66,0.08776857075118175
88,66,0.2352899254604439
90,66,0.29433367434391694
92,66,0.3272898995581128
94,66,0.3361161537416983
96,66,0.34137983098738395
98,66,0.34850529089241195
88,68,0.1889815345433567
90,68,0.26437245450034697
92,68,0.30289528943357397
94,68,0.33183917427293935
96,68,0.33498825356765993
98,68,0.34393555030967543
100,68,0.34028762411228936
102,68,0.3378843046387911
88,70,0.1927698609556451
90,70,0.2191735817314006
92,70,0.26273613312523847
94,70,0.28841220980424276
96,70,0.3126172926411099
98,70,0.32736639123465966
100,70,0.32284496349787556
102,70,0.32979189639801454
104,70,0.3209326041909392
106,70,0.30561240504610815
90,72,0.15719472960993566
92,72,0.18202101249387953
94,72,0.2488947982356466
96,72,0.2731654606889833
98,72,0.2969095137566312
100,72,0.27294821439019457
102,72,0.2719353295927065
104,72,0.29774663269011353
106,72,0.2786221884918758
108,72,0.27394162374436115
90,74,0.25134243586954985
94,74,0.23164651212589255
96,74,0.2398556237763126
98,74,0.2797518242815786
100,74,0.24919118299631335
106,74,0.2531939578904568
108,74,0.24984718131839465
110,74,0.23443421756370778
112,74,0.22581706829896261
114,74,0.19690086536907744
96,76,0.2236465169346741
98,76,0.24643472483509185
102,76,0.24553015813254062
104,76,0.24774014768701375
106,76,0.2358839942195023
108,76,0.20821484382754413
110,76,0.20031672333830253
112,76,0.18358919701566467
114,76,0.17813231771494406
116,76,0.16440841914535645
118,76,0.14024817053232072
98,78,0.18889506078763538
102,78,0.25244659377727985
104,78,0.21740553383854638
106,78,0.22864508898126745
108,78,0.19719243339941195
110,78,0.19143044551413357
112,78,0.15218210261717752
114,78,0.15363716738200292
116,78,0.14292354808014876
118,78,0.12947505289730654
120,78,0.1146062108916667
100,80,0.13830579168058485
102,80,0.14705252020051743
104,80,0.15552393204304504
106,80,0.13075487013948156
108,80,0.14547406254339926
110,80,0.13230291546901196
114,80,0.10984605988840777
116,80,0.11441042527137306
118,80,0.10641262257927363
120,80,0.09821360470099925
122,80,0.08249563820886667
124,80,0.06852976279883882
106,82,0.0528042209340514
122,82,0.04167584812186472
124,82,0.032321940638496346
126,82,0.056274444932101084
128,82,0.022529500535857738
110,84,0.17798431307118873
126,84,0.014109753497304344
128,84,0.030260437358190943
134,86,0.12686069977368106
136,86,0.14092878422125002
130,88,0.09101776653312975
134,88,0.18960658660251198
136,88,0.17888920822382054
138,88,0.1998239940971658
140,88,0.21647765865593915
132,90,0.15140535172725303
134,90,0.1743547773835138
136,90,0.2254415926721224
138,90,0.22960810870353004
140,90,0.2460621952275974
142,90,0.24803900623215655
144,90,0.23813231786970437
138,92,0.2597106616416389
140,92,0.2673198988629709
142,92,0.26456464811149455
144,92,0.27218011351634713
146,92,0.2889005019180205
144,94,0.28531536458723483
146,94,0.2885404263818395
148,94,0.2921278775729077
150,94,0.29214009583148515
144,96,0.26333052661558887
148,96,0.337975669549212
150,96,0.29892071539148535
152,96,0.29712569588416443
152,98,0.29920093377744134
154,98,0.30413956448321167
