el,A,Z_+,state,ME_keV,ME_unc_keV,Ex_keV,Ex_unc_keV,Ex_origin,t_1_2,t_1_2_unit,t_1_2_unc,JP,T,ensdf,ref,yr,decay,extrapol,Z,N,mass_prec,isolde_yields,isolde_yields_log
201Pb,201,821,m,-24642.0,14.0,629.1,0.3,,60.8,s,1.8,13/2+,,7.0,,1952,IT~100;B+ ?,False,82,119,7.416384046759072e-08,8.10e+6,15.907374619642667
201Pb,201,822,n,-22318.0,24.0,2953.0,20.0,,508,ns,3,(29/2-),,7.0,,1981,IT=100,False,82,119,1.2713957747060607e-07,8.10e+6,15.907374619642667
201Bi,201,830,,-21429.0,12.0,,,,103,m,3,9/2-*,,7.0,,1950,B+=100,False,83,118,6.357052366568855e-08,2.70e+6,14.808762330974558
201Bi,201,831,m,-20583.0,12.0,846.35,0.18,,57.5,m,2.1,1/2+,,7.0,,1950,B+~100;A=?;IT ?,False,83,118,6.357080857237469e-08,2.70e+6,14.808762330974558
201Bi,201,832,n,-19456.0,26.0,1973.0,23.0,,118,ns,28,25/2+.0,,7.0,,1982,IT=100,False,83,118,1.3773757424950054e-07,2.70e+6,14.808762330974558
201Bi,201,833,p,-19417.0,26.0,2012.0,23.0,,105,ns,75,27/2+.0,,7.0,,1985,IT=100,False,83,118,1.3773760270696549e-07,2.70e+6,14.808762330974558
201Bi,201,834,q,-18648.0,26.0,2781.0,23.0,,124,ns,4,29/2-.0,,7.0,,1982,IT=100,False,83,118,1.377381638322013e-07,2.70e+6,14.808762330974558
201Po,201,840,,-16521.0,5.0,,,,15.6,m,0.1,3/2-*,,7.0,,1951,B+=98.87 3;A=1.13 3,False,84,117,2.6488588392607812e-08,9.50e+7,18.369387449564815
201Po,201,841,m,-16097.0,5.0,423.8,2.4,AD,8.96,m,0.12,13/2+*,,7.0,,1962,IT=56.2 12;B+=41.4 7;A=2.4 5,False,84,117,2.6488647892264176e-08,9.50e+7,18.369387449564815
201At,201,850,,-10789.0,8.0,,,,85.2,s,1.6,9/2-*,,7.0,,1963,A=71 7;B+=29 7,False,85,116,4.2383318860173544e-08,4.60e+7,17.64415195445337
201At,201,851,m,-10330.0,8.0,459.0,1.0,,45,ms,3,1/2+,,,,2015,IT=100,False,85,116,4.238342192575972e-08,4.60e+7,17.64415195445337
201At,201,852,n,-8469.0,8.0,2319.7,0.3,,3.39,us,0.09,29/2+,,,,2015,IT=100,False,85,116,4.238383980683469e-08,4.60e+7,17.64415195445337
201Rn,201,860,,-4107.0,10.0,,,,7.0,s,0.4,3/2-,,7.0,,1967,A=?;B+ ?,False,86,115,5.298138717826183e-08,8.00e+7,18.197537192638155
201Rn,201,861,m,-3863.0,7.0,245.0,12.0,AD,3.8,s,0.1,13/2+,,7.0,,1967,A=?;B+ ?,False,86,115,3.708701896887304e-08,8.00e+7,18.197537192638155
201Fr,201,870,,3589.0,9.0,,,,62.8,ms,1.9,9/2-,,7.0,,1980,A~100; B+ ?,False,87,114,4.768551956579252e-08,1.00e+0,0.0
201Fr,201,871,m,3718.0,10.0,129.0,10.0,AD,24,ms,6,1/2+,,7.0,,2005,A=100,False,87,114,5.298394684278584e-08,1.00e+0,0.0
201Fr,201,872,n,3879.0,9.0,289.5,0.4,,720,ns,40,13/2+,,,,2014,IT=100,False,87,114,4.7685592836299005e-08,1.00e+0,0.0
201Ra,201,880,,11937.0,20.0,,,,20,ms,30,(3/2-),,,,2005,A=100,False,88,113,1.0597323474626884e-07,,
201Ra,201,881,m,12200.0,26.0,263.0,26.0,AD,6,ms,5,13/2+,,7.0,,2005,A=100,False,88,113,1.3776539715284823e-07,,
202Os,202,760,,-12530.0,400.0,,,,2.0,s,>300ns,0+,,13.0,,2009,B- ?,True,76,126,2.1085208038298572e-06,,
202Ir,202,770,,-16640.0,300.0,,,,11,s,3,(2-),,8.0,,2008,B-=100,True,77,125,1.5813671235148688e-06,,
202Ir,202,771,m,-14040.0,420.0,2600.0,300.0,,3.4,us,0.6,,,,,2011,IT=100,True,77,125,2.2139443154300154e-06,,
202Pt,202,780,,-22692.0,25.0,,,,44,h,15,0+,,8.0,,1992,B-=100,False,78,124,1.3177728812449882e-07,,
202Pt,202,781,m,-20904.0,25.0,1788.5,0.4,,141,us,7,(7-),,8.0,,2005,IT=100,False,78,124,1.3177853009914623e-07,,
202Au,202,790,,-24353.0,23.0,,,,28.4,s,1.2,(1-),,8.0,,1967,B-=100,False,79,123,1.212348701201748e-07,1.40e+3,7.24422751560335
202Hg,202,800,,-27345.3,0.7,,,,stbl,,,0+,,8.0,,1920,IS=29.74 13,False,80,122,3.689723873760438e-09,7.90e+8,20.487543503425343
202Tl,202,810,,-25980.4,1.8,,,,12.31,d,0.08,2-*,,8.0,,1940,EC=100,False,81,121,9.48799433196826e-09,,
202Tl,202,811,m,-25030.2,1.8,950.19,0.1,,591,us,3,7+,,8.0,,1958,IT=100,False,81,121,9.488041853839072e-09,,
202Pb,202,820,,-25941.0,4.0,,,,52.5,ky,2.8,0+,,8.0,,1954,EC=100,False,82,120,2.1084579967489855e-08,4.60e+6,15.341566861459324
202Pb,202,821,m,-23771.0,4.0,2169.85,0.08,,3.54,h,0.02,9-,,8.0,,1954,IT=90.5 5;B+=9.5 5,False,82,120,2.1084821143784e-08,4.60e+6,15.341566861459324
202Pb,202,822,n,-21800.0,50.0,4140.0,50.0,,100,ns,3,16+,,8.0,,1986,IT=100,True,82,120,2.6356300259713885e-07,4.60e+6,15.341566861459324
202Pb,202,823,p,-20640.0,50.0,5300.0,50.0,,108,ns,3,19-,,8.0,,1987,IT=100,True,82,120,2.6356461420558037e-07,4.60e+6,15.341566861459324
202Bi,202,830,,-20751.0,14.0,,,,1.72,h,0.05,5+*,,8.0,,1951,B+=100;A<1e-5,False,83,119,7.379855192109261e-08,1.00e+7,16.11809565095832
202Bi,202,831,m,-20126.0,18.0,625.0,12.0,,3.04,us,0.06,10-.0,,8.0,,1981,IT=100,False,83,119,9.4884165073279e-08,1.00e+7,16.11809565095832
202Bi,202,832,n,-18134.0,18.0,2617.0,12.0,,310,ns,50,(17+),,8.0,,1981,IT=100,False,83,119,9.488516141627029e-08,1.00e+7,16.11809565095832
202Po,202,840,,-17942.0,9.0,,,,44.6,m,0.4,0+,,8.0,,1951,B+=98.08 7;A=1.92 7,False,84,118,4.7442952175909746e-08,1.00e+8,18.420680743952367
202Po,202,841,m,-16230.0,15.0,1712.0,12.0,,110,ns,15,8+,,8.0,,1971,IT=100,False,84,118,7.90723005639403e-08,1.00e+8,18.420680743952367
