el,A,Z_+,state,ME_keV,ME_unc_keV,Ex_keV,Ex_unc_keV,Ex_origin,t_1_2,t_1_2_unit,t_1_2_unc,JP,T,ensdf,ref,yr,decay,extrapol,Z,N,mass_prec,isolde_yields,isolde_yields_log
1 n,1,0,,8071.3181,0.0004,,,,609.8,s,0.6,1/2+*,,6.0,,1932,B-=100,False,0,1,4.294176409284926e-10,,
1H,1,10,,7288.971064,1.3e-05,,,,stbl,,,1/2+*,,6.0,,1920,IS=99.9855 78,False,1,0,1.396373334948402e-11,,
2H,2,10,,13135.722895,1.5e-05,,,,stbl,,,1+*,,3.0,,1932,IS=0.0145 78,False,1,1,8.044181710098656e-12,,
3H,3,10,,14949.8109,8e-05,,,,12.32,y,0.02,1/2+*,,0.0,,1934,B-=100,False,1,2,2.8546418663563203e-11,,
3He,3,20,,14931.21888,6e-05,,,,stbl,,,1/2+*,,98.0,,1934,IS=0.0002 2,False,2,1,2.1419557023603726e-11,,
3Li,3,30,,,0.0,,,,p-unst,,,3/2-.0,,98.0,,9999,p ?,False,3,0,,,
4H,4,10,,24620.0,100.0,,,,139,ys,10,2-,,98.0,,1981,n=100,False,1,3,2.6792783156883518e-05,,
4He,4,20,,2424.91587,0.00015,,,,stbl,,,0+,,98.0,,1908,IS=99.9998 2,False,2,2,3.9965362271075834e-11,,
4Li,4,30,,25320.0,210.0,,,,91,ys,9,2-,,98.0,,1965,p=100,False,3,1,5.6314434498285865e-05,,
5H,5,10,,32890.0,90.0,,,,86,ys,6,(1/2+),,19.0,,1987,2n=100,False,1,4,1.929821496536997e-05,,
5He,5,20,,11231.0,20.0,,,,602,ys,22,3/2-,,2.0,,1937,n=100,False,2,3,4.269846221542216e-06,,
5Li,5,30,,11680.0,50.0,,,,370,ys,30,3/2-,,2.0,,1941,p=100,False,3,2,1.0678587716846439e-05,,
5Be,5,40,,,0.0,,,,p-unst,,,1/2+.0,,18.0,,9999,p ?,False,4,1,,,
6H,6,10,,41880.0,250.0,,,,294,ys,67,2-.0,,19.0,,1984,n ?;3n ?,False,1,5,4.468898902154679e-05,,
6He,6,20,,17592.1,0.05,,,,806.92,ms,0.24,0+,,2.0,,1936,B-=100;B-d=0.000278 18,False,2,4,8.901210128460902e-09,5.40e+7,17.80449460452855
6Li,6,30,,14086.8804,0.0014,,,,stbl,,,1+*,,2.0,,1921,IS=4.85 171,False,3,3,2.491357815342271e-10,,
6Li,6,38,i,17649.76,0.1,3562.88,0.1,,56,as,14,0+,T=1,2.0,,1981,IT=100,False,3,3,1.7806702935248993e-08,,
6Be,6,40,,18375.0,5.0,,,,5.0,zs,0.3,0+,,2.0,,1958,2p=100,False,4,2,8.906552849523223e-07,,
6B,6,50,,,0.0,,,,p-unst,,,2-.0,,,,9999,2p ?,False,5,1,,,
7H,7,10,,,0.0,,,,652,ys,558,1/2+.0,,17.0,,2003,2n ?,False,1,6,,,
7He,7,20,,26073.0,8.0,,,,2.51,zs,0.07,(3/2)-,,3.0,,1967,n=100,False,2,5,1.2216914470364394e-06,,
7Li,7,30,,14907.105,0.004,,,,stbl,,,3/2-*,,3.0,,1921,IS=95.15 171,False,3,4,6.099261664016847e-10,8.20e+9,22.82739999121662
7Li,7,38,i,26150.0,30.0,11250.0,30.0,RQ,,,,3/2-,T=3/2,3.0,,9999,,False,3,4,4.582301843685804e-06,8.20e+9,22.82739999121662
7Be,7,40,,15769.0,0.07,,,,53.22,d,0.06,3/2-,,3.0,,1938,EC=100,False,4,3,1.0677216791305916e-08,2.00e+12,28.324168296488494
7Be,7,48,i,26750.0,30.0,10980.0,30.0,RQ,,,,3/2-,T=3/2,3.0,,9999,p ?;3He ?;A ?,False,4,3,4.583627401284096e-06,2.00e+12,28.324168296488494
7B,7,50,,27677.0,25.0,,,,570,ys,14,(3/2-),,14.0,,1967,p=100,False,5,2,3.820985729243317e-06,,
8He,8,20,,31609.68,0.09,,,,119.5,ms,1.5,0+,,5.0,,1965,B-=100;B-n=16 1;B-t=0.9 1,False,2,6,1.2028343557581618e-08,6.64e+5,13.406037428458571
8Li,8,30,,20945.8,0.05,,,,838.7,ms,0.3,2+,,5.0,,1935,B-=100;B-A=100,False,3,5,6.674054785621605e-09,5.80e+8,20.17853866150474
8Li,8,38,i,31768.0,5.0,10822.0,5.0,RQ,,,,0+,T=2,5.0,,9999,,False,3,5,6.683709799527971e-07,5.80e+8,20.17853866150474
8Be,8,40,,4941.67,0.04,,,,81.9,as,3.7,0+,,5.0,,1932,A=100,False,4,4,5.328780164425821e-09,,
8Be,8,48,i,21568.0,3.0,16626.0,3.0,,,,,2+  frg,T=1,,,2004,A~100,False,4,4,4.0054570160961336e-07,,
8Be,8,49,j,32436.0,2.0,27494.3,2.0,RQ,,,,0+,T=2,5.0,,9999,n=39.4;d=27.0;3H=11.7;A=7.9;p=6.9;3He=6.6;IT=0.60,False,4,4,2.674185036377246e-07,,
8B,8,50,,22921.6,1.0,,,,771.9,ms,0.9,2+,,5.0,,1950,B+=100;B+A=100,False,5,3,1.335624356083534e-07,2.61e+5,12.47227568630483
8B,8,58,i,33546.0,8.0,10624.0,8.0,RQ,,,,0+,T=2,5.0,,1975,,False,5,3,1.0700178624066916e-06,2.61e+5,12.47227568630483
8C,8,60,,35064.0,18.0,,,,3.5,zs,1.4,0+,,18.0,,1974,2p=100,False,6,2,2.4084458189813436e-06,,
9He,9,20,,40940.0,50.0,,,,2.5,zs,2.3,1/2(+),,6.0,,1987,n=100,False,2,7,5.943492515956332e-06,,
9Li,9,30,,24954.91,0.19,,,,178.2,ms,0.4,3/2-,,6.0,,1951,B-=100;B-n=50.5 10,False,3,6,2.2545897247148103e-08,3.60e+7,17.399029496420383
9Be,9,40,,11348.45,0.08,,,,stbl,,,3/2-*,,6.0,,1921,IS=100,False,4,5,9.479159292215964e-09,,
9Be,9,48,i,25738.8,1.7,14390.3,1.7,RQ,1.25,as,0.10,3/2-,T=3/2,6.0,,1976,,False,4,5,2.0177618459106052e-07,,
9B,9,50,,12416.5,0.9,,,,800,zs,300,3/2-,,6.0,,1940,p=100,False,5,4,1.0667038830479388e-07,,
9B,9,58,i,27071.0,2.3,14654.5,2.5,RQ,,,,3/2-,T=3/2,6.0,,9999,,False,5,4,2.730764071887924e-07,,
9C,9,60,,28911.0,2.1,,,,126.5,ms,0.9,3/2-,,6.0,,1964,B+=100;B+p=7.5 6;B+A=38.4 16,False,6,3,2.4942342240867703e-07,4.03e+3,8.301521654940728
10He,10,20,,49200.0,90.0,,,,260,ys,40,0+,,7.0,,1994,2n=100,False,2,8,9.631985857044444e-06,,
10Li,10,30,,33053.0,13.0,,,,2.0,zs,0.5,"(1-,2-)",,7.0,,1975,n=100,False,3,7,1.3890786690729371e-06,,
10Li,10,31,m,33250.0,40.0,200.0,40.0,RQ,3.7,zs,1.5,1+,,7.0,,1994,IT=100,False,3,7,4.274178183488982e-06,,
10Li,10,32,n,33530.0,40.0,480.0,40.0,RQ,1.35,zs,0.24,(2+),,7.0,,1993,IT=100,False,3,7,4.2743060675091845e-06,,
10Be,10,40,,12607.49,0.08,,,,1.387,My,0.012,0+,,7.0,,1935,B-=100,False,4,6,8.530718715127615e-09,2.00e+12,28.324168296488494
10Be,10,48,i,33787.0,21.0,21179.0,21.0,RQ,,,,(2-),T=2,7.0,,9999,n ?;p ?;3H ?,False,4,6,2.244382500789497e-06,2.00e+12,28.324168296488494
10B,10,50,,12050.611,0.015,,,,stbl,,,3+*,,7.0,,1920,IS=19.65 44,False,5,5,1.5996353799816883e-09,,
10B,10,58,i,13790.66,0.04,1740.05,0.04,,,,,0+,T=1,7.0,,9999,IT=100,False,5,5,4.266486048267852e-09,,
10C,10,60,,15698.67,0.07,,,,19.3011,s,0.0015,0+,,7.0,,1949,B+=100,False,6,4,7.468900930787916e-09,7.00e+5,13.458835614025542
10N,10,70,,38800.0,400.0,,,,143,ys,36,"1-,2-",,17.0,,2002,p ?,False,7,3,4.279081306837634e-05,,
11Li,11,30,,40728.3,0.6,,,,8.75,ms,0.06,3/2-*,,12.0,,1966,B-=100;B-n=86.3 9;B-2n=4.1 4;B-3n=1.9 2;B-A=1.7 3;B-d=0.0130 13;B-t=0.0093 8,False,3,8,5.830557396819841e-08,7.00e+3,8.85366542803745
11Be,11,40,,20177.17,0.24,,,,13.76,s,0.07,1/2+*,,12.0,,1958,B-=100;B-A=3.3 1;B-p=0.0013 3;B-n ?,False,4,7,2.3278666010244168e-08,7.00e+6,15.761420707019587
11Be,11,48,i,41336.0,20.0,21158.0,20.0,RQ,0.93,zs,0.13,3/2-,T=5/2,,,1997,IT ?,False,4,7,1.943878233915404e-06,7.00e+6,15.761420707019587
11B,11,50,,8667.708,0.012,,,,stbl,,,3/2-*,,12.0,,1920,IS=80.35 44,False,5,6,1.162781091669406e-09,,
11B,11,58,i,21228.0,9.0,12560.0,9.0,RQ,,,T=3/2,"1/2+,(3/",2+),12.0,,1963,,False,5,6,8.731485037875918e-07,,
11B,11,59,j,42230.0,80.0,33570.0,80.0,2p,,,,3/2-,T=5/2,,,9999,,False,5,6,7.777166325356017e-06,,
11C,11,60,,10649.4,0.06,,,,20.3402,m,0.0053,3/2-*,,12.0,,1934,B+=100,False,6,5,5.815751056121484e-09,7.70e+8,20.461901072812005
11C,11,68,i,22810.0,40.0,12160.0,40.0,RQ,,,,1/2+,T=3/2,12.0,,1971,p=?,False,6,5,3.881742847179607e-06,7.70e+8,20.461901072812005
11N,11,70,,24366.0,5.0,,,,585,ys,7,1/2+,,12.0,,1974,p=100,False,7,4,4.853520602984589e-07,,
11N,11,71,m,25110.0,60.0,740.0,60.0,,690,ys,80,1/2-,,12.0,,1974,p=100,False,7,4,5.824645381722623e-06,,
11O,11,80,,47740.0,60.0,,,,198,ys,12,(3/2-),,20.0,,2019,2p=100,False,8,3,5.838204117198333e-06,,
12Li,12,30,,49010.0,30.0,,,,,,,"(1-,2-)",,17.0,,2008,n ?,False,3,9,2.6733452655347735e-06,,
12Be,12,40,,25077.8,1.9,,,,21.46,ms,0.05,0+,,17.0,,1966,B-=100;B-n=0.50 3,False,4,8,1.689709875089876e-07,7.00e+3,8.85366542803745
12Be,12,41,m,27328.8,2.1,2251.0,1.0,,233,ns,7,0+,,17.0,,2007,IT=100,False,4,8,1.8679480097959889e-07,7.00e+3,8.85366542803745
12B,12,50,,13369.4,1.3,,,,20.20,ms,0.02,1+*,,17.0,,1935,B-=100;B-A=0.60 2,False,5,7,1.1550474389508596e-07,,
12B,12,58,i,26088.0,19.0,12719.0,19.0,RQ,,,,0+,T=2,17.0,,9999,,False,5,7,1.690056096546222e-06,,
12C,12,60,,0.0,0.0,,,,stbl,,,0+,,17.0,,1919,IS=98.94 6,False,6,6,0.0,,
12C,12,68,i,15108.0,3.0,15108.0,3.0,RQ,,,,1+,T=1,17.0,,9999,IT=?;A ?,False,6,6,2.6662123317425523e-07,,
12C,12,69,j,27595.0,2.4,27595.0,2.4,RQ,,,,0+,T=2,17.0,,9999,,False,6,6,2.1353395936263238e-07,,
12N,12,70,,17338.1,1.0,,,,11.000,ms,0.016,1+*,,17.0,,1949,B+=100;B+A=1.93 4,False,7,5,8.89015830888831e-08,,
12N,12,78,i,29580.0,4.0,12242.0,4.0,2p,>5,zs,,(0+),T=2,17.0,,9999,,False,7,5,3.559937690214527e-07,,
12O,12,80,,32013.0,12.0,,,,8.9,zs,3.3,0+,,17.0,,1978,2p=100,False,8,4,1.0683356075085763e-06,,
13Li,13,30,,56980.0,70.0,,,,3.3,zs,1.2,3/2-.0,,,,2008,2n=100,False,3,10,5.759662228281904e-06,,
13Be,13,40,,33659.0,10.0,,,,1.0,zs,0.7,(1/2-),,,,1983,n ?,False,4,9,8.213202828180534e-07,,
13Be,13,43,p,35160.0,50.0,1500.0,50.0,RQ,,,,(5/2+),,,,1992,,False,4,9,4.107107739048826e-06,,
13B,13,50,,16561.9,1.0,,,,17.16,ms,0.18,3/2-,,0.0,,1956,B-=100;B-n=0.266 36,False,5,8,8.202555947547848e-08,,
13C,13,60,,3125.0093,0.0002,,,,stbl,,,1/2-*,,1.0,,1929,IS=1.06 6,False,6,7,1.6388787316313426e-11,3.00e+2,5.703782474656201
13C,13,68,i,18233.8,1.1,15108.8,1.1,RQ,,,,3/2-,T=3/2,0.0,,9999,IT=0.82 7;n ?;A ?,False,6,7,9.02500664813044e-08,3.00e+2,5.703782474656201
13N,13,70,,5345.48,0.27,,,,9.965,m,0.004,1/2-*,,0.0,,1934,B+=100,False,7,6,2.2131235231032756e-08,2.40e+4,10.085809109330082
13N,13,78,i,20410.59,0.18,15065.1,0.3,RQ,,,,3/2-,T=3/2,0.0,,9999,IT=4.9 3;p ?;A ?,False,7,6,1.4772398516624239e-08,2.40e+4,10.085809109330082
13O,13,80,,23115.0,10.0,,,,8.58,ms,0.05,(3/2-),,0.0,,1963,B+=100;B+p=10.9 2,False,8,5,8.209581548376708e-07,,
13F,13,90,,42030.0,500.0,,,,,,,1/2+.0,,,,9999,p ?,True,9,4,4.1116120188053836e-05,,
14Be,14,40,,39950.0,130.0,,,,4.53,ms,0.27,0+,,1.0,,1973,B-=100;B-n=86 6;B-2n=5 2;B-t=0.02 1;B-A<0.004,False,4,10,9.917007949160861e-06,6.10e+0,1.8082887711792655
14Be,14,43,p,41470.0,60.0,1520.0,150.0,RQ,,,,(2+),,,,1995,,False,4,10,4.577611378357394e-06,6.10e+0,1.8082887711792655
14B,14,50,,23664.0,21.0,,,,12.36,ms,0.29,2-,,1.0,,1966,B-=100;B-n=6.04 23;B-2n ?,False,5,9,1.6001481005059598e-06,,
14B,14,58,i,40728.0,20.0,17065.0,29.0,RQ,4.15,zs,1.9,0+,T=3,,,2001,IT ?,False,5,9,1.5259346449758302e-06,,
14C,14,60,,3019.893,0.004,,,,5.70,ky,0.03,0+,,1.0,,1936,B-=100,False,6,8,3.0434136875426683e-10,,
14C,14,68,i,25120.0,100.0,22100.0,100.0,,,,,(2-),T=2,1.0,,1989,IT=100,False,6,8,7.6213494738197386e-06,,
14N,14,70,,2863.4168,0.0002,,,,stbl,,,1+*,,1.0,,1920,IS=99.6205 247,False,7,7,1.5218384798930615e-11,,
14N,14,78,i,5176.007,0.01,2312.59,0.01,,,,,0+,T=1,1.0,,1963,IT=100,False,7,7,7.610531620435375e-10,,
14O,14,80,,8007.781,0.025,,,,70.621,s,0.011,0+,,1.0,,1949,B+=100,False,8,6,1.903230410067352e-09,,
14F,14,90,,31960.0,40.0,,,,500,ys,60,2-,,14.0,,2010,p ?,False,9,5,3.051032508841537e-06,,
15Be,15,40,,49830.0,170.0,,,,790,ys,270,(5/2+),,15.0,,2013,n=100,False,4,11,1.2109574860041893e-05,,
15B,15,50,,28957.0,21.0,,,,10.18,ms,0.35,3/2-,,2.0,,1966,B-=100;B-n=98.7 10;B-2n<1.5,False,5,10,1.4938052274935166e-06,,
15C,15,60,,9873.1,0.8,,,,2.449,s,0.005,1/2+,,2.0,,1950,B-=100,False,6,9,5.68349408048299e-08,7.90e+5,13.579788224443204
15N,15,70,,101.4381,0.0006,,,,stbl,,,1/2-*,,2.0,,1929,IS=0.3795 247,False,7,8,4.260054594449429e-11,,
15N,15,78,i,11717.0,4.0,11615.0,4.0,RQ,,,,1/2+,T=3/2,2.0,,9999,n ?;p ?;IT=0.00523 19,False,7,8,2.8423805514949723e-07,,
15O,15,80,,2855.6,0.5,,,,122.266,s,0.043,1/2-*,,2.0,,1934,B+=100,False,8,7,3.55106598571533e-08,,
15O,15,88,i,14020.0,40.0,11165.0,35.0,,,,,(1/2+),T=3/2,2.0,,9999,p=100,True,8,7,2.843107117836342e-06,,
15F,15,90,,16567.0,14.0,,,,1.1,zs,0.3,1/2+,,16.0,,1978,p=100,False,9,6,9.953591863840759e-07,,
15Ne,15,100,,40220.0,70.0,,,2p,770,ys,300,(3/2-),,14.0,,2014,2p=100,False,10,5,4.985638517759207e-06,,
16Be,16,40,,57450.0,170.0,,,,650,ys,130,0+,,15.0,,2012,2n=100,False,4,12,1.1355724248434978e-05,,
16B,16,50,,37112.0,25.0,,,,>4.6,zs,,0-.0,,16.0,,2000,n ?,False,5,11,1.667837703716732e-06,,
16C,16,60,,13694.0,4.0,,,,750,ms,6,0+,,99.0,,1961,B-=100;B-n=99.0 3,False,6,10,2.664607327707274e-07,4.00e+3,8.294049640102028
16N,16,70,,5683.9,2.3,,,,7.13,s,0.02,2-,,99.0,,1933,B-=100;B-A=0.00154 5,False,7,9,1.5314639771702244e-07,2.50e+4,10.126631103850338
16N,16,71,m,5804.3,2.3,120.42,0.12,,5.25,us,0.06,0-,T=1,99.0,,1957,IT~100;B-=0.000389 25,False,7,9,1.531476254833104e-07,2.50e+4,10.126631103850338
16N,16,78,i,15613.0,7.0,9929.0,7.0,RQ,,,,0+,T=2,99.0,,9999,,False,7,9,4.6640608863834965e-07,2.50e+4,10.126631103850338
16O,16,80,,-4737.0021,0.0003,,,,stbl,,,0+,,99.0,,1919,IS=99.757 11,False,8,8,1.9963484030697473e-11,,
16O,16,83,p,8231.6,0.27,12968.6,0.27,,,,,2-,,99.0,,9999,p=78 4;A=22 4;IT=0.28 3,False,8,8,1.7982654567462707e-08,,
16O,16,88,i,8059.0,4.0,12796.0,4.0,RQ,,,,0-,T=1,99.0,,9999,IT=100,False,8,8,2.66406634797377e-07,,
16O,16,89,j,17984.0,4.0,22721.0,4.0,RQ,,,,0+,T=2,99.0,,9999,,False,8,8,2.665828517839649e-07,,
16F,16,90,,10675.0,5.0,,,,21,zs,5,0-,,99.0,,1964,p=100,False,9,7,3.330950207876167e-07,,
16Ne,16,100,,23987.0,20.0,,,,>5.7,zs,,0+,,99.0,,1977,2p=100,False,10,6,1.3336777418537256e-06,,
17B,17,50,,43720.0,200.0,,,,5.08,ms,0.05,(3/2-),,99.0,,1973,B-=100;B-n=63 1;B-2n=12 2;B-3n=3.5 7;B-4n=0.4 3,False,5,12,1.2560900357975565e-05,,
17C,17,60,,21032.0,17.0,,,,193,ms,6,3/2+,,17.0,,1968,B-=100;B-n=28.4 13;B-2n ?,False,6,11,1.0662438383695629e-06,8.00e+0,2.0794415416798357
17N,17,70,,7870.0,15.0,,,,4.173,s,0.004,1/2-,,99.0,,1949,B-=100;B-n=95.1 7;B-A=0.0025 4,False,7,10,9.401035685163833e-07,1.00e+5,11.512925464970229
17O,17,80,,-808.7642,0.0006,,,,stbl,,,5/2+*,,99.0,,1925,IS=0.03835 96,False,8,9,3.758674491184799e-11,,
17O,17,88,i,10270.02,0.17,11078.78,0.17,RQ,,,,1/2-,T=3/2,99.0,,9999,B- ?;n ?;IT=0.42 14,False,8,9,1.0656973939099688e-08,,
17F,17,90,,1951.7,0.25,,,,64.370,s,0.027,5/2+,,99.0,,1934,B+=100,False,9,8,1.56651218453038e-08,4.43e+7,17.606495235015363
17F,17,98,i,13144.7,1.9,11193.0,1.9,RQ,,,,1/2-,T=3/2,99.0,,9999,,False,9,8,1.1913848485327996e-07,4.43e+7,17.606495235015363
17Ne,17,100,,16500.5,0.4,,,,109.2,ms,0.6,1/2-*,,99.0,,1963,B+=100;B+p=94.4 29;B+A=3.51 1;B+pA=0.014 4,False,10,7,2.5089100293556344e-08,4.50e+3,8.411832675758411
17Na,17,110,,34720.0,60.0,,,,,,,(1/2+),,17.0,,2017,p=100,False,11,6,3.76797666509812e-06,,
18B,18,50,,51790.0,200.0,,,,,,<26 ns,(2-),,16.0,,2010,n=100,False,5,13,1.1866674888113896e-05,,
18C,18,60,,24920.0,30.0,,,,92,ms,2,0+,,17.0,,1969,B-=100;B-n=31.5 15;B-2n ?,False,6,12,1.7773040854057851e-06,,
18N,18,70,,13113.0,19.0,,,,619.2,ms,1.9,1-,,96.0,,1964,B-=100;B-n=7.0 15;B-A=12.2 6;B-2n ?,False,7,11,1.1249252429038177e-06,6.50e+1,4.174387269895637
18O,18,80,,-782.8163,0.0006,,,,stbl,,,0+,,96.0,,1929,IS=0.2045 102,False,8,10,3.549746859856223e-11,,
18O,18,88,i,15495.0,20.0,16278.0,20.0,,,,,1-,T=2,,,9999,,False,8,10,1.1843895624264822e-06,,
18F,18,90,,873.1,0.5,,,,109.734,m,0.008,1+,,96.0,,1937,B+=100,False,9,9,2.958638620591256e-08,1.78e+7,16.694709015262312
18F,18,91,m,1994.5,0.5,1121.36,0.15,,162,ns,7,5+,,96.0,,9999,IT=100,False,9,9,2.9588349580703976e-08,1.78e+7,16.694709015262312
18F,18,98,i,1914.7,0.5,1041.55,0.08,,,,,0+,T=1,96.0,,9999,IT=100,False,9,9,2.9588209856283024e-08,1.78e+7,16.694709015262312
18Ne,18,100,,5317.6,0.4,,,,1664.20,ms,0.47,0+,,96.0,,1954,B+=100,False,10,8,2.3677147911636704e-08,3.46e+6,15.056779147033907
18Na,18,110,,25040.0,90.0,,,,1.3,zs,0.4,1-.0,,15.0,,2004,p=?,False,11,7,5.333993669611832e-06,,
19B,19,50,,59770.0,530.0,,,,2.92,ms,0.13,(3/2-),,18.0,,1984,B-=100;B-n=71 9;B-2n=17 5;B-3n<9.1,False,5,14,2.9799545215264904e-05,,
19C,19,60,,32410.0,100.0,,,,46.2,ms,2.3,1/2+,,17.0,,1974,B-=100;B-n=47 3;B-2n=7 3,False,6,13,5.614327270479105e-06,,
19N,19,70,,15856.0,16.0,,,,336,ms,3,1/2-,,96.0,,1968,B-=100;B-n=41.8 9,False,7,12,8.975233797623442e-07,,
19O,19,80,,3332.9,2.6,,,,26.470,s,0.006,5/2+,,96.0,,1936,B-=100,False,8,11,1.4575573240094954e-07,1.28e+5,11.759785542901755
19F,19,90,,-1487.4451,0.0008,,,,stbl,,,1/2+*,,96.0,,1920,IS=100,False,9,10,4.483905190642309e-11,,
19F,19,98,i,6052.2,0.9,7539.6,0.9,,,,,5/2+,T=3/2,96.0,,9999,IT=100,False,9,10,5.0465259416477195e-08,,
19Ne,19,100,,1752.05,0.16,,,,17.2569,s,0.0019,1/2+*,,96.0,,1939,B+=100,False,10,9,8.970089318653484e-09,2.97e+7,17.20665760377293
19Ne,19,108,i,9253.0,9.0,7501.0,9.0,RQ,,,,(5/2)+,T=3/2,96.0,,9999,,False,10,9,5.047797973025978e-07,2.97e+7,17.20665760377293
19Na,19,110,,12929.0,11.0,,,,>1,as,,(5/2+),,15.0,,1969,p=100,False,11,8,6.171250864847298e-07,,
19Mg,19,120,,31840.0,60.0,,,,5,ps,3,1/2-.0,,14.0,,2007,2p=100,False,12,7,3.3699567120490987e-06,,
20B,20,50,,69400.0,550.0,,,,>912.4,ys,,"(1-,2-)",,19.0,,2018,n=100;B-n ?;B-2n ?,False,5,15,2.9387497628323014e-05,,
20C,20,60,,37500.0,230.0,,,,16,ms,3,0+,,17.0,,1981,B-=100;B-n=70 11;B-2n<18.6,False,6,14,1.2269252425527043e-05,,
20N,20,70,,21770.0,80.0,,,,136,ms,3,(2-),,18.0,,1969,B-=100;B-n=42.9 14;B-2n ?,False,7,13,4.2642820610614285e-06,,
20O,20,80,,3796.2,0.9,,,,13.51,s,0.05,0+,,98.0,,1959,B-=100,False,8,12,4.793055679946037e-08,3.40e+4,10.4341158035983
20F,20,90,,-17.463,0.03,,,,11.0062,s,0.0080,2+,,98.0,,1935,B-=100,False,9,11,1.597470809056443e-09,9.71e+6,16.088666840267507
20F,20,98,i,6503.0,3.0,6521.0,3.0,RQ,,,,0+,T=2,98.0,,9999,,False,9,11,1.5980256568443076e-07,9.71e+6,16.088666840267507
20Ne,20,100,,-7041.9322,0.0015,,,,stbl,,,0+,,98.0,,1913,IS=90.48 3,False,10,10,7.984917228522878e-11,1.10e+6,13.9108207377686
20Ne,20,108,i,3230.5,2.0,10272.5,2.0,RQ,,,,2+,T=1,98.0,,9999,IT=100,False,10,10,1.0652381347870494e-07,1.10e+6,13.9108207377686
20Ne,20,109,j,9690.9,2.8,16732.8,2.8,RQ,,,,0+,T=2,98.0,,9999,IT=100,False,10,10,1.4918467230479784e-07,1.10e+6,13.9108207377686
20Na,20,110,,6850.5,1.1,,,,447.9,ms,2.3,2+*,,98.0,,1950,B+=100;B+A=25.0 4,False,11,9,5.860343354799109e-08,1.10e+6,13.9108207377686
20Na,20,118,i,13348.9,1.2,6498.4,0.5,p,,,,0+,T=2,98.0,,1979,p=100,False,11,9,6.395315949704793e-08,1.10e+6,13.9108207377686
20Mg,20,120,,17477.7,1.9,,,,90.4,ms,0.5,0+,,16.0,,1974,B+=100;B+p=30.3 12,False,12,8,1.012884383967236e-07,,
21B,21,50,,78380.0,560.0,,,,>760,ys,,(3/2-),,19.0,,2018,2n=100,False,5,16,2.8504490764433978e-05,,
21C,21,60,,45640.0,600.0,,,,,,<30ns,1/2+.0,,15.0,,9999,n ?,True,6,15,3.0491718854638975e-05,,
21N,21,70,,25230.0,130.0,,,,85,ms,5,(1/2-),,15.0,,1970,B-=100;B-n=87 3;B-2n ?,False,7,14,6.600127061125602e-06,,
21O,21,80,,8062.0,12.0,,,,3.42,s,0.10,(5/2+),,15.0,,1968,B-=100;B-n ?,False,8,13,6.087518681844372e-07,7.00e+3,8.85366542803745
21F,21,90,,-47.6,1.8,,,,4.158,s,0.020,5/2+,,15.0,,1955,B-=100,False,9,12,9.12812165852028e-08,9.36e+5,13.74937075545973
21Ne,21,100,,-5731.78,0.04,,,,stbl,,,3/2+*,,15.0,,1928,IS=0.27 1,False,10,11,2.028019905082041e-09,1.60e+5,11.982929094215963
21Ne,21,108,i,3129.0,0.3,8860.8,0.3,,,,,5/2+,T=3/2,15.0,,9999,,False,10,11,1.5216985457284824e-08,1.60e+5,11.982929094215963
21Na,21,110,,-2184.86,0.04,,,,22.4550,s,0.0054,3/2+*,,15.0,,1940,B+=100,False,11,10,2.028517709825968e-09,4.00e+8,19.806975105072254
21Na,21,118,i,6790.0,4.0,8975.0,4.0,p,,,,5/2+,T=3/2,15.0,,9999,,False,11,10,2.0294413929501837e-07,4.00e+8,19.806975105072254
21Mg,21,120,,10903.9,0.8,,,,120.0,ms,0.4,5/2+*,,15.0,,1963,B+=100;B+p=20.1 21;B+A=0.116 18;B+pA=0.016 3,False,12,9,4.059996611579811e-08,1.50e+4,9.615805480084347
21Al,21,130,,27090.0,600.0,,,,,,<35ns,5/2+.0,,15.0,,9999,p ?,True,13,8,3.047701014678289e-05,,
22C,22,60,,53610.0,230.0,,,,6.2,ms,1.3,0+,,15.0,,1986,B-=100;B-n=61 14;B-2n<37,False,6,16,1.1160135236032274e-05,,
22N,22,70,,31760.0,210.0,,,,23,ms,3,0-.0,,15.0,,1979,B-=100;B-n=34 3;B-2n=12 3,False,7,15,1.017953504170553e-05,,
22O,22,80,,9280.0,60.0,,,,2.25,s,0.09,0+,,15.0,,1969,B-=100;B-n<22,False,8,14,2.9054546755034997e-06,1.30e+3,7.170119543449628
22F,22,90,,2793.0,12.0,,,,4.23,s,0.04,(4+),,15.0,,1965,B-=100;B-n<11,False,9,13,5.809448278064091e-07,2.55e+4,10.146433731146518
22Ne,22,100,,-8024.716,0.018,,,,stbl,,,0+,,15.0,,1913,IS=9.25 3,False,10,12,8.710156206593928e-10,1.80e+1,2.8903717578961645
22Ne,22,108,i,5855.0,10.0,13880.0,10.0,,,,,4+,T=2,15.0,,9999,,False,10,12,4.842227885287e-07,1.80e+1,2.8903717578961645
22Na,22,110,,-5181.39,0.13,,,,2.6019,y,0.0006,3+*,,15.0,,1935,B+=100;e+=90.57 8;EC=9.43 6,False,11,11,6.291927838526228e-09,1.00e+9,20.72326583694641
22Na,22,111,m,-4598.34,0.16,583.05,0.1,,243,ns,2,1+,,15.0,,1958,IT=100,False,11,11,7.744129719770015e-09,1.00e+9,20.72326583694641
