At.Num.	Sp.Name.	IonCharge	El.name	Isoel.Seq.	GroundShellsa	GroundLevel	IonizedLevel	IonizationEnergy (eV)	Uncertainty (eV)	References
92	UI	0	Uranium	U	[Rn]5f36d7s2	5L°6	5f37s24I°9/2	6.19405	0.00006	L5494,L7765
93	NpI	0	Neptunium	Np	[Rn]5f46d7s2	6L11/2	5f46d7s7L5	6.26554	0.00025	L15992
94	PuI	0	Plutonium	Pu	[Rn]5f67s2	7F0	5f67s8F1/2	6.02576	0.00025	L15992,L11260
95	AmI	0	Americium	Am	[Rn]5f77s2	8S°7/2	5f77s9S°4	5.97381	0.00025	L15992
96	CmI	0	Curium	Cm	[Rn]5f76d7s2	9D°2	5f77s28S°7/2	5.992241	0.000020	L22423
97	BkI	0	Berkelium	Bk	[Rn]5f97s2	6H°15/2	5f97s7H°8	6.19785	0.00025	L15992
98	CfI	0	Californium	Cf	[Rn]5f107s2	5I8	5f107s6I17/2	6.281878	0.000006	L22260
99	EsI	0	Einsteinium	Es	[Rn]5f117s2	4I°15/2	5f117s5I°8	6.36840	0.00006	L22449
100	FmI	0	Fermium	Fm	[Rn]5f127s2	3H6	5f127s4H13/2	6.50	0.07	L16359
101	MdI	0	Mendelevium	Md	[Rn]5f137s2	2F°7/2	5f137s3F°4	6.58	0.07	L16359
102	NoI	0	Nobelium	No	[Rn]5f147s2	1S0	5f147s2S1/2	6.62621	0.00005	L20870
103	LrI	0	Lawrencium	Lr	[Rn]5f147s27p	2P°1/2	7s21S0	4.96	0.05	L21372
104	RfI	0	Rutherfordium	Rf	[Rn]5f146d27s2	3F2	6d7s22D3/2	6.02	0.04	L19691
105	DbI	0	Dubnium	Db	[Rn]5f146d37s2	4F3/2	6d27s23F2	6.8	0.5	L12825
106	SgI	0	Seaborgium	Sg	[Rn]5f146d47s2	0	6d37s24F3/2	7.8	0.5	L7830
107	BhI	0	Bohrium	Bh	[Rn]5f146d57s2	5/2	6d47s20	7.7	0.5	L13544
108	HsI	0	Hassium	Hs	[Rn]5f146d67s2	4	6d57s25/2	7.6	0.5	L13544
